name,id_on_page,data_svg
Belouizdad,commune-04,"M 539.71638,233.8949 C 539.78281,234.00634 539.78698,234.11572 539.90361,234.23762 C 540.16233,234.50805 540.56736,234.81596 541.21417,235.20345 C 543.80143,236.7534 573.04095,250.46463 574.85205,251.49794 C 575.7576,252.0146 577.5735,252.45241 579.15819,252.77533 C 580.74288,253.09824 582.09137,253.30498 582.09137,253.30498 C 582.09136,253.30498 582.93666,252.52671 583.74517,251.62256 C 584.14944,251.1705 584.55838,250.68764 584.83731,250.25171 C 585.11625,249.81578 585.27645,249.41958 585.21176,249.16125 C 585.0824,248.6446 584.87193,248.45716 584.7749,248.10196 C 584.67788,247.74676 584.67221,247.23931 584.93092,246.07683 C 585.06028,245.4956 585.80932,244.47274 586.89678,243.24166 C 587.98423,242.01057 589.41823,240.56831 590.92209,239.06677 C 591.91872,238.07168 592.4991,237.39386 593.48081,236.41853 L 572.69897,229.00345 L 572.66777,228.53611 C 572.06754,228.56658 570.73924,228.83642 570.48349,228.78535 C 569.58518,228.60596 565.63892,226.64462 561.37193,224.26776 C 560.48235,223.77224 559.64478,223.23069 558.7508,222.70997 C 558.72604,222.69979 558.61093,222.75725 558.59478,222.74113 C 558.59477,222.74113 555.32334,223.32665 551.6675,224.14313 C 549.83957,224.55139 547.89757,225.0277 546.23801,225.51399 C 544.57845,226.00029 543.20077,226.49803 542.43112,226.97832 C 542.0463,227.21846 541.65539,227.81497 541.27658,228.66073 C 540.89777,229.5065 540.51401,230.60001 540.15323,231.86978 C 539.98941,232.44636 539.87468,233.25813 539.71638,233.8949 z"
Sidi MHamed,commune-02,"M 539.71638,233.8949 C 539.87468,233.25813 539.98941,232.44636 540.15323,231.86978 C 540.51401,230.60001 540.89777,229.5065 541.27658,228.66073 C 541.65539,227.81497 542.0463,227.21846 542.43112,226.97832 C 543.20077,226.49803 544.57845,226.00029 546.23801,225.51399 C 547.89757,225.0277 549.83957,224.55139 551.6675,224.14313 C 555.32334,223.32665 558.59477,222.74113 558.59478,222.74113 C 558.61093,222.75725 558.72604,222.69979 558.7508,222.70997 C 557.50071,221.98184 556.20462,221.26947 555.06873,220.56022 C 553.12051,219.34376 551.43491,218.21695 550.35693,217.32001 C 548.20098,215.52617 545.98771,213.64414 544.30336,211.80544 C 543.46119,210.88609 542.75762,209.97499 542.2439,209.09488 C 541.73018,208.21477 541.4151,207.34735 541.37019,206.5401 C 541.28036,204.92563 541.08675,202.16111 540.83973,199.71698 C 540.59269,197.27285 540.29415,195.15692 539.93481,194.88783 C 539.75515,194.75328 539.37388,194.79598 538.90507,194.95014 C 538.43627,195.1043 537.88635,195.36401 537.31367,195.66672 C 536.16832,196.27216 534.98569,197.02152 534.53653,197.38029 C 534.08736,197.73906 532.97209,197.82898 531.75937,197.94109 C 530.54664,198.05322 529.22905,198.20922 528.42054,198.65768 C 528.0163,198.88191 527.57004,199.43594 527.07878,200.18432 C 526.58751,200.93269 526.07754,201.87462 525.54978,202.89488 C 524.49427,204.93538 523.39012,207.26231 522.49179,208.87679 C 522.04263,209.68402 521.46961,210.37001 520.83798,210.96423 C 520.20635,211.55844 519.52589,212.05986 518.84092,212.55318 C 518.15597,213.04649 517.48425,213.51297 516.87508,214.0175 C 516.31877,214.47824 515.82977,214.98459 515.43969,215.54413 C 515.4625,215.61998 515.58617,215.75785 515.59571,215.82453 C 515.72507,216.72868 516.49886,218.10901 517.43675,219.59439 C 518.37464,221.07977 519.46892,222.69119 520.24511,224.11199 C 520.6332,224.82238 521.46093,225.45433 522.49179,226.04365 C 523.52265,226.63295 524.77158,227.17938 526.04905,227.66374 C 528.60396,228.63248 531.25039,229.41692 532.41466,230.06274 C 532.99679,230.38565 533.62099,230.52781 534.25569,230.59239 C 534.89038,230.65697 535.52962,230.62354 536.12792,230.62354 C 536.72624,230.62354 537.30875,230.65017 537.78174,230.77932 C 538.25472,230.90849 538.61515,231.13731 538.87388,231.58938 C 539.39133,232.49353 539.33739,233.00552 539.46675,233.48988 C 539.50228,233.62289 539.63545,233.75914 539.71638,233.8949 z "
Alger-Centre,commune-01,"M 515.43969,215.54413 C 515.82977,214.98459 516.31877,214.47824 516.87508,214.0175 C 517.48425,213.51297 518.15597,213.04649 518.84092,212.55318 C 519.52589,212.05986 520.20635,211.55844 520.83798,210.96423 C 521.46961,210.37001 522.04263,209.68402 522.49179,208.87679 C 523.39012,207.26231 524.49427,204.93538 525.54978,202.89488 C 526.07754,201.87462 526.58751,200.93269 527.07878,200.18432 C 527.57004,199.43594 528.0163,198.88191 528.42054,198.65768 C 529.22905,198.20922 530.54664,198.05322 531.75937,197.94109 C 532.97209,197.82898 534.08736,197.73906 534.53653,197.38029 C 534.98569,197.02152 536.16832,196.27216 537.31367,195.66672 C 537.88635,195.36401 538.43627,195.1043 538.90507,194.95014 C 539.37388,194.79598 539.75515,194.75328 539.93481,194.88783 C 540.29415,195.15692 540.59269,197.27285 540.83973,199.71698 C 541.08675,202.16111 541.28036,204.92563 541.37019,206.5401 C 541.4151,207.34735 541.73018,208.21477 542.2439,209.09488 C 542.75762,209.97499 543.46119,210.88609 544.30336,211.80544 C 545.98771,213.64414 548.20098,215.52617 550.35693,217.32001 C 551.43491,218.21695 553.12051,219.34376 555.06873,220.56022 C 557.01695,221.77668 559.23844,223.07934 561.37193,224.26776 C 565.63892,226.64462 569.58518,228.60596 570.48349,228.78535 C 570.73924,228.83642 572.06754,228.56658 572.66777,228.53611 L 571.88767,211.68081 L 569.04811,212.08583 L 568.2368,221.33912 L 565.42845,220.12404 L 563.40019,217.32001 L 561.80879,216.10494 L 560.18619,210.87076 L 552.51001,209.65568 L 550.1073,207.63055 L 545.27069,206.04161 L 548.07904,203.61146 L 555.75522,202.39639 L 545.27069,200.40241 L 544.45938,197.16221 L 550.1073,196.75718 L 546.45643,193.54813 L 548.4847,189.52903 L 552.91565,188.31396 L 548.89034,185.10491 L 550.1073,181.45967 L 554.94391,180.64963 L 554.13261,177.44058 L 549.70165,175.82047 L 548.4847,173.8265 L 549.88887,173.48379 C 547.00558,172.8765 543.97281,172.20306 543.024,171.67675 C 541.85973,171.03093 540.30596,170.05046 538.62424,169.34006 C 537.78339,168.98486 536.90751,168.6834 536.03431,168.53001 C 535.16111,168.37663 534.28525,168.36742 533.44439,168.56116 C 532.60352,168.75492 531.89883,169.02523 531.26011,169.34006 C 530.62137,169.6549 530.06021,170.01301 529.57509,170.36821 C 528.60487,171.0786 527.88161,171.78776 527.23479,172.17524 C 526.91138,172.36899 526.6759,172.44467 526.4859,172.42448 C 526.32888,172.40781 526.2382,172.28976 526.17385,172.14409 C 524.50759,174.6912 522.68626,177.49566 522.05493,178.126 C 521.79621,178.38433 521.79091,178.7413 521.86771,179.1853 C 521.94451,179.6293 522.12669,180.16299 522.30457,180.71193 C 522.48245,181.26087 522.63454,181.85233 522.67902,182.42551 C 522.72349,182.99867 522.65918,183.56012 522.33577,184.07676 C 521.68895,185.11006 518.84848,188.08377 515.97016,191.08682 C 513.09184,194.08987 510.16231,197.12134 509.38612,198.28381 C 508.99803,198.86504 508.78163,199.58417 508.66844,200.37126 C 508.55524,201.15835 508.54134,202.00914 508.60603,202.83256 C 508.7354,204.47939 509.12739,206.01437 509.38612,206.78935 C 509.64483,207.56433 511.14479,209.3729 512.60013,211.21348 C 513.3278,212.13377 514.04335,213.08157 514.59718,213.89288 C 515.06934,214.58453 515.30788,215.10573 515.43969,215.54413 z"
Oued Koriche,commune-08,"M 508.16917,136.87571 C 507.67748,137.17698 507.14292,137.44727 506.67138,137.74807 C 504.34285,139.23345 502.26833,140.68062 500.5866,141.45561 C 499.74575,141.8431 498.91094,142.72329 498.09029,143.88576 C 497.26964,145.04824 496.47652,146.48407 495.7812,147.90487 C 494.39055,150.74646 493.35638,153.57914 493.09765,154.35412 C 492.96829,154.74161 493.20655,155.07146 493.65933,155.38226 C 494.11209,155.69306 494.78886,155.97788 495.50036,156.31694 C 496.21186,156.65599 496.94421,157.05976 497.59102,157.53201 C 498.23785,158.00426 498.79888,158.56633 499.05761,159.27674 C 500.09252,162.11832 500.59053,163.92679 501.36671,165.47674 C 502.14289,167.0267 507.82593,173.98228 507.82593,173.98228 L 510.16622,175.29082 C 510.16622,175.29082 511.27529,176.58173 512.56893,177.97023 C 513.86256,179.35873 515.35001,180.82293 516.12618,181.21043 C 516.51427,181.40417 517.21074,181.53006 518.09203,181.52198 C 518.97332,181.51391 520.01809,181.37415 521.15002,181.14812 C 521.53353,181.07154 521.94213,180.90825 522.33577,180.8054 C 522.32601,180.77449 522.3145,180.74259 522.30457,180.71193 C 522.12669,180.16299 521.94451,179.6293 521.86771,179.1853 C 521.79091,178.7413 521.79621,178.38433 522.05493,178.126 C 522.68626,177.49566 524.50759,174.6912 526.17385,172.14409 C 526.16034,172.11349 526.11986,172.1182 526.11145,172.08178 C 526.01443,171.66199 526.21806,170.90302 526.73553,169.86971 C 527.25298,168.83641 527.49971,167.09583 527.95249,165.35211 C 528.17888,164.48027 528.44618,163.58039 528.8262,162.79734 C 529.20621,162.01429 529.70836,161.32003 530.35519,160.80337 C 531.64882,159.77006 532.81285,158.50641 533.91244,157.37623 C 534.00598,157.28009 534.10063,157.22053 534.19328,157.12698 C 534.15271,157.05706 533.17129,155.37047 532.66428,154.10487 C 532.53492,153.78197 531.66385,152.99536 530.38639,151.98627 C 529.10894,150.97718 527.44992,149.72501 525.76821,148.46567 C 524.08648,147.20632 522.36734,145.95642 521.0252,144.88276 C 519.68306,143.80908 518.694,142.93582 518.43528,142.48375 C 518.2994,142.24632 518.31185,141.86753 518.24805,141.54908 C 518.24683,141.56692 518.18564,141.70485 518.18564,141.70485 L 516.62544,137.81039 L 508.10676,137.31188 L 508.16917,136.87571 z"
Beni Messous,commune-32,"M 405.91378,188.96823 L 419.08185,188.96823 L 436.18162,181.21043 L 428.41183,167.53303 L 417.55285,154.35412 L 407.7236,153.57522 L 406.9435,148.40336 L 415.21255,139.89782 L 415.46219,137.31188 C 415.46219,137.31188 416.96668,136.77719 418.55138,136.0345 C 419.34374,135.66315 420.16225,135.23631 420.82927,134.78826 C 421.4963,134.34023 422.0082,133.90064 422.20225,133.44856 C 422.57679,132.57595 422.87153,130.80401 422.95114,129.11791 C 421.85364,128.95475 420.66789,128.84782 419.86195,128.52595 C 418.56832,128.0093 417.49221,127.69041 416.55433,127.52897 C 415.61644,127.36751 414.82964,127.36864 414.18282,127.49781 C 413.53601,127.62697 412.95513,128.01384 412.37299,128.40132 C 411.79087,128.78882 411.20997,129.17568 410.56317,129.30485 C 409.91635,129.434 409.00701,129.09811 408.00444,128.7752 C 407.00187,128.45228 405.88775,128.14753 404.85285,128.2767 C 404.33541,128.34128 403.38903,128.97538 402.20052,129.92796 C 401.01199,130.88054 399.59705,132.15693 398.2064,133.44856 C 395.4251,136.03184 392.71059,138.72235 391.93441,139.36817 C 391.54632,139.69109 391.0569,139.80032 390.49903,139.80435 C 389.94115,139.80839 389.30595,139.69928 388.62678,139.58626 C 387.94763,139.47325 387.22564,139.36527 386.47371,139.33701 C 385.72179,139.30876 384.9408,139.39025 384.16462,139.64858 C 383.38844,139.90691 382.71268,140.31698 382.07395,140.80134 C 381.43523,141.2857 380.84512,141.84247 380.29533,142.35912 C 379.74554,142.87579 379.21329,143.34363 378.70393,143.69883 C 378.35113,143.94484 377.99635,144.01079 377.643,144.10386 L 374.86584,151.2697 L 371.49581,158.99633 L 366.06632,167.28378 L 368.06338,172.95414 C 368.06403,172.95417 368.12579,172.95414 368.12579,172.95414 C 368.12579,172.95414 369.49977,173.54433 371.24618,174.48077 C 372.99258,175.41721 375.12332,176.70521 376.67567,178.126 C 377.45185,178.8364 378.39771,179.4724 379.45282,180.05766 C 380.50794,180.64293 381.67362,181.1784 382.85406,181.64661 C 385.21494,182.58305 387.65366,183.27971 389.59411,183.79636 C 390.56433,184.05468 391.65016,184.13504 392.74571,184.13907 C 393.84125,184.14312 394.96992,184.09404 396.05333,184.0456 C 397.13674,183.99718 398.17747,183.97586 399.11132,184.07676 C 400.04517,184.17767 400.86721,184.40358 401.51402,184.85566 C 402.80766,185.7598 404.28601,186.77647 405.32091,187.97124 C 405.5895,188.28132 405.71972,188.6321 405.91378,188.96823 z"
Bouzareah,commune-11,"M 435.12069,181.70892 L 454.81039,190.52602 L 462.82981,190.27676 L 468.75856,184.85566 L 495.40675,183.29786 L 506.95221,172.82952 C 505.78929,171.39666 502.03777,166.81679 501.36671,165.47674 C 500.59053,163.92679 500.09252,162.11832 499.05761,159.27674 C 498.79888,158.56633 498.23785,158.00426 497.59102,157.53201 C 496.94421,157.05976 496.21186,156.65599 495.50036,156.31694 C 494.78886,155.97788 494.11209,155.69306 493.65933,155.38226 C 493.20655,155.07146 492.96829,154.74161 493.09765,154.35412 C 493.35638,153.57914 494.39055,150.74646 495.7812,147.90487 C 496.47652,146.48407 497.26964,145.04824 498.09029,143.88576 C 498.91094,142.72329 499.74575,141.8431 500.5866,141.45561 C 502.26833,140.68062 504.34285,139.23345 506.67138,137.74807 C 507.14292,137.44727 507.67748,137.17698 508.16917,136.87571 L 508.60603,133.16817 C 508.60603,133.16817 506.80541,133.05262 504.76793,132.79429 C 502.73047,132.53597 500.46242,132.12703 499.55687,131.61037 C 498.65133,131.09373 495.60381,130.51714 492.6608,129.70987 C 491.81173,129.47696 491.09806,129.17462 490.3205,128.89981 C 490.17156,129.36831 489.95329,129.86768 489.91485,130.27067 C 489.7855,131.62689 490.11571,132.66451 489.72763,133.69781 C 489.33953,134.73112 489.28963,135.75801 489.32198,136.533 C 489.35432,137.30797 489.47799,137.81039 489.478,137.81039 C 489.478,137.81039 488.70421,138.26523 487.63697,138.62043 C 487.10334,138.79803 486.47686,138.96491 485.85833,139.02546 C 485.23982,139.08601 484.63063,139.06342 484.04851,138.86968 C 482.88424,138.48218 480.42731,138.26246 477.80771,137.81039 C 476.49791,137.58434 475.12517,137.31856 473.87601,136.90686 C 472.62686,136.49515 471.47394,135.96599 470.5684,135.25561 C 469.66284,134.5452 468.91711,133.90921 468.29051,133.32395 C 467.66389,132.73868 467.16464,132.1766 466.79271,131.57922 C 466.42079,130.98184 466.18531,130.36312 466.04382,129.6164 C 465.90233,128.86968 465.85432,128.00147 465.919,126.96816 C 466.04836,124.90155 466.76884,120.53049 467.44799,116.65559 C 468.12716,112.78068 468.75857,109.39628 468.75856,109.39628 L 465.66937,109.67669 C 465.66937,109.67669 462.94008,111.81269 459.80303,113.97619 C 458.2345,115.05793 456.58295,116.13162 455.09122,116.96714 C 453.5995,117.80267 452.28123,118.39804 451.44036,118.46262 C 449.75864,118.59178 446.53589,118.65183 443.1401,118.58725 C 441.79571,118.56168 440.76681,118.40806 439.45804,118.338 C 439.30799,118.83257 439.14967,119.35512 439.02118,119.74001 C 438.82714,120.32124 438.21518,121.15641 437.39858,122.07669 C 436.58197,122.99698 435.56385,124.00545 434.4966,124.97419 C 432.36211,126.91164 430.09747,128.66811 429.19193,129.05559 C 428.28639,129.44308 426.60213,129.5575 424.82337,129.46063 C 424.15281,129.4241 423.61525,129.21664 422.95114,129.11791 C 422.87153,130.80401 422.57679,132.57595 422.20225,133.44856 C 422.0082,133.90064 421.4963,134.34023 420.82927,134.78826 C 420.16225,135.23631 419.34374,135.66315 418.55138,136.0345 C 416.96668,136.77719 415.46219,137.31188 415.46219,137.31188 L 415.21255,139.89782 L 406.9435,148.40336 L 407.7236,153.57522 L 417.55285,154.35412 L 428.41183,167.53303 L 436.18162,181.21043 L 435.12069,181.70892 z"
Ben Aknoun,commune-22,""
undefined,none,"M 485.92074,215.51298 C 485.24729,215.1803 484.51103,214.84884 483.70526,214.54714 C 482.75472,214.19124 481.78405,213.84899 480.95931,213.48785 C 480.13458,213.12671 479.45051,212.72263 479.08708,212.30393 C 478.72363,211.88523 478.53114,211.4814 478.46299,211.08885 C 478.39484,210.69631 478.46575,210.31243 478.55661,209.9984 C 478.73833,209.37034 479.08707,208.97025 479.08708,208.97025 C 479.08708,208.97025 478.77801,207.71672 478.40059,206.44663 C 478.02317,205.17656 477.58802,203.88537 477.30845,203.82955 C 477.02888,203.77373 475.30155,203.82406 473.47036,203.64262 C 472.55477,203.5519 471.63402,203.3971 470.81802,203.14412 C 470.00203,202.89115 469.30599,202.55612 468.91458,202.05367 C 468.52317,201.55121 468.31697,201.12869 468.2593,200.77628 C 468.20164,200.42386 468.28902,200.1347 468.47772,199.84161 C 468.85515,199.25542 469.63607,198.67857 470.47478,197.78532 C 470.89414,197.3387 471.23043,196.87853 471.47331,196.41447 C 471.71618,195.9504 471.86123,195.50419 471.91016,195.04361 C 471.95909,194.58303 471.91664,194.1089 471.75414,193.67275 C 471.59165,193.2366 471.30304,192.81732 470.91163,192.42652 C 470.52024,192.03572 470.05762,191.81835 469.53866,191.67878 C 469.01971,191.53921 468.44449,191.48861 467.82244,191.46069 C 466.57835,191.40485 465.15079,191.43998 463.64111,190.99335 C 463.00806,190.80607 462.62238,190.54335 462.08091,190.30792 L 455.6217,190.49486 C 455.59904,190.73883 455.5838,190.80677 455.55929,191.05566 C 455.39133,192.76054 455.16465,194.48463 454.71677,195.04361 C 454.26891,195.60258 452.13146,197.11179 449.72414,198.84462 C 447.31682,200.57745 444.64526,202.53199 443.07769,203.98533 C 441.51015,205.43866 440.45061,206.50298 439.58286,207.53708 C 438.7151,208.57119 438.02633,209.59153 437.24256,210.93307 C 437.04662,211.26846 436.92628,211.89568 436.86811,212.77126 C 436.80993,213.64685 436.82087,214.74504 436.86811,216.01147 C 436.96258,218.54434 437.23269,221.72189 437.55459,224.92203 C 437.77915,227.15442 437.85678,228.03032 438.08506,230.0939 C 445.08889,228.48208 452.03205,226.98902 453.59343,226.57329 C 455.27296,226.1261 456.74548,225.744 457.83717,225.5763 C 458.38302,225.49246 458.83255,225.46508 459.17894,225.51399 C 459.52534,225.56291 459.75347,225.66426 459.86544,225.88787 C 460.08937,226.33504 459.87003,227.25276 459.36617,228.28686 C 458.86231,229.32096 458.07764,230.48975 457.18189,231.49591 C 456.73402,231.99899 456.44493,232.71401 456.27698,233.52104 C 456.10902,234.32806 456.05855,235.22018 456.05855,236.04466 C 456.05855,237.69364 456.27698,239.09793 456.27698,239.09793 C 456.27698,239.09793 457.18876,239.49425 458.33644,239.68989 C 458.91027,239.78771 459.52694,239.82556 460.14626,239.7522 C 460.7656,239.67883 461.38983,239.48921 461.89369,239.09793 C 462.39754,238.70664 462.90834,237.81368 463.42268,236.66778 C 463.93704,235.52187 464.45539,234.10843 464.88927,232.71099 C 465.75702,229.91611 466.35585,227.13778 466.35585,226.3552 C 466.35585,225.57263 466.48159,224.99855 466.76151,224.57932 C 467.04143,224.16008 467.49387,223.8994 468.16569,223.6758 C 468.83748,223.45221 472.31165,223.37616 475.81066,223.20846 C 477.56016,223.12461 479.29258,223.00927 480.70968,222.8346 C 482.12678,222.65991 483.21976,222.42224 483.61165,222.08686 C 484.00353,221.75147 484.25151,221.2409 484.42296,220.62253 C 484.5944,220.00416 484.69622,219.28216 484.76619,218.5974 C 484.83617,217.91266 484.86594,217.26258 484.95342,216.72805 C 485.0409,216.19353 485.16634,215.77414 485.39028,215.60645 C 485.49856,215.52536 485.74332,215.54812 485.92074,215.51298 z"
El Biar,commune-10,"M 506.95221,172.82952 L 495.40675,183.29786 L 468.75856,184.85566 L 462.82981,190.27676 L 462.08091,190.30792 C 462.62238,190.54335 463.00806,190.80607 463.64111,190.99335 C 465.15079,191.43998 466.57835,191.40485 467.82244,191.46069 C 468.44449,191.48861 469.01971,191.53921 469.53866,191.67878 C 470.05762,191.81835 470.52024,192.03572 470.91163,192.42652 C 471.30304,192.81732 471.59165,193.2366 471.75414,193.67275 C 471.91664,194.1089 471.95909,194.58303 471.91016,195.04361 C 471.86123,195.50419 471.71618,195.9504 471.47331,196.41447 C 471.23043,196.87853 470.89414,197.3387 470.47478,197.78532 C 469.63607,198.67857 468.85515,199.25542 468.47772,199.84161 C 468.28902,200.1347 468.20164,200.42386 468.2593,200.77628 C 468.31697,201.12869 468.52317,201.55121 468.91458,202.05367 C 469.30599,202.55612 470.00203,202.89115 470.81802,203.14412 C 471.63402,203.3971 472.55477,203.5519 473.47036,203.64262 C 475.30155,203.82406 477.02888,203.77373 477.30845,203.82955 C 477.58802,203.88537 478.02317,205.17656 478.40059,206.44663 C 478.77801,207.71672 479.08708,208.97025 479.08708,208.97025 C 479.08707,208.97025 478.73833,209.37034 478.55661,209.9984 C 478.46575,210.31243 478.39484,210.69631 478.46299,211.08885 C 478.53114,211.4814 478.72363,211.88523 479.08708,212.30393 C 479.45051,212.72263 480.13458,213.12671 480.95931,213.48785 C 481.78405,213.84899 482.75472,214.19124 483.70526,214.54714 C 484.51103,214.84884 485.24729,215.1803 485.92074,215.51298 C 486.11026,215.47544 486.23664,215.38294 486.48242,215.38835 C 486.95828,215.39883 487.52041,215.48388 488.13622,215.6376 C 489.36788,215.94505 490.76103,216.52461 491.8807,217.19539 C 493.00038,217.86616 494.52477,218.34265 495.8124,218.56625 C 496.45622,218.67804 497.04255,218.7328 497.49741,218.69087 C 497.95228,218.64894 498.29037,218.50944 498.40232,218.28585 C 498.62626,217.83867 499.56696,217.05612 500.74262,216.38534 C 501.33046,216.04996 501.97804,215.76773 502.61486,215.54413 C 503.25169,215.32054 503.86485,215.17027 504.4247,215.17027 C 506.66406,215.17028 509.35492,215.85569 509.35492,215.85569 C 509.35492,215.85569 509.87208,216.57731 510.57188,217.16423 C 510.92178,217.4577 511.31703,217.70321 511.72642,217.8185 C 512.13581,217.9338 512.55148,217.91106 512.94338,217.63158 C 513.38875,217.31395 514.49214,216.22241 515.37729,215.38835 C 515.22291,214.96531 515.02679,214.5222 514.59718,213.89288 C 514.04335,213.08157 513.3278,212.13377 512.60013,211.21348 C 511.14479,209.3729 509.64483,207.56433 509.38612,206.78935 C 509.12739,206.01437 508.7354,204.47939 508.60603,202.83256 C 508.54134,202.00914 508.55524,201.15835 508.66844,200.37126 C 508.78163,199.58417 508.99803,198.86504 509.38612,198.28381 C 510.16231,197.12134 513.09184,194.08987 515.97016,191.08682 C 518.84848,188.08377 521.68895,185.11006 522.33577,184.07676 C 522.65918,183.56012 522.72349,182.99867 522.67902,182.42551 C 522.63703,181.88435 522.50076,181.328 522.33577,180.8054 C 521.94213,180.90825 521.53353,181.07154 521.15002,181.14812 C 520.01809,181.37415 518.97332,181.51391 518.09203,181.52198 C 517.21074,181.53006 516.51427,181.40417 516.12618,181.21043 C 515.35001,180.82293 513.86256,179.35873 512.56893,177.97023 C 511.27529,176.58173 510.16622,175.29082 510.16622,175.29082 L 507.82593,173.98228 C 507.82593,173.98228 507.13438,173.05398 506.95221,172.82952 z"
Dely Ibrahim,commune-23,"M 438.08506,230.0939 C 437.85678,228.03032 437.77915,227.15442 437.55459,224.92203 C 437.23269,221.72189 436.96258,218.54434 436.86811,216.01147 C 436.82087,214.74504 436.80993,213.64685 436.86811,212.77126 C 436.92628,211.89568 437.04662,211.26846 437.24256,210.93307 C 438.02633,209.59153 438.7151,208.57119 439.58286,207.53708 C 440.45061,206.50298 441.51015,205.43866 443.07769,203.98533 C 444.64526,202.53199 447.31682,200.57745 449.72414,198.84462 C 452.13146,197.11179 454.26891,195.60258 454.71677,195.04361 C 455.16465,194.48463 455.39133,192.76054 455.55929,191.05566 C 455.5838,190.80677 455.59904,190.73883 455.6217,190.49486 L 454.81039,190.52602 L 435.12069,181.70892 L 419.08185,188.96823 L 405.91378,188.96823 C 406.09359,189.27966 406.34315,189.57484 406.44426,189.9029 C 406.65447,190.58505 406.67176,191.30883 406.41305,192.08381 C 406.15433,192.85878 406.09987,193.58951 406.13221,194.29587 C 406.16456,195.00223 406.28596,195.68905 406.35064,196.38331 C 406.41533,197.07756 406.44994,197.76325 406.28823,198.50191 C 406.12653,199.24056 405.7805,200.03019 405.13369,200.86975 C 403.84005,202.54887 403.18376,203.18827 402.73098,203.70492 C 402.27821,204.22158 402.03147,204.59873 401.51402,205.76121 C 400.99657,206.92368 400.73847,207.94715 400.60911,208.68986 C 400.47975,209.43255 400.48429,209.90493 400.48429,209.90493 C 400.48429,209.90493 398.59803,211.37936 396.33417,212.86473 C 395.20224,213.60743 393.97934,214.364 392.83932,214.92102 C 391.6993,215.47803 390.65113,215.82453 389.87494,215.82453 C 388.32259,215.82453 383.63615,216.03923 379.14078,216.13609 C 376.89309,216.18453 374.68971,216.20358 372.93119,216.16725 C 371.17267,216.13092 369.88912,216.01828 369.43635,215.82453 C 368.53081,215.43704 367.68956,214.69106 366.78401,214.14212 C 366.33124,213.86765 365.84991,213.63492 365.34863,213.55016 C 364.84735,213.4654 364.30815,213.50992 363.72603,213.76826 C 363.14389,214.02659 362.58563,214.53428 362.07221,215.23257 C 361.5588,215.93087 361.10463,216.83364 360.66804,217.8185 C 359.79483,219.78825 359.06361,222.16546 358.54616,224.36123 C 358.4168,224.91017 358.41252,225.49255 358.48376,226.07479 C 358.555,226.65705 358.70028,227.24926 358.92061,227.85068 C 359.36125,229.05351 360.06518,230.27 360.79285,231.46475 C 361.52052,232.65951 362.28116,233.81822 362.88351,234.8919 C 363.48587,235.96556 363.91097,236.94982 363.97565,237.78938 C 364.23437,241.14764 364.50612,240.90496 364.50612,240.90496 C 364.50612,240.90496 364.58217,240.57247 364.19408,240.28185 C 364.00003,240.13654 363.68067,239.99274 363.19555,239.90798 C 363.13677,239.89771 363.0102,239.91608 362.94592,239.90798 C 363.60924,240.48987 364.22942,240.97215 364.91178,241.77733 C 365.5276,242.504 366.33941,243.02041 367.18966,243.36627 C 368.03992,243.71214 368.95383,243.89156 369.77959,243.98939 C 371.43112,244.18503 372.77517,244.02054 372.77517,244.02054 C 372.77516,244.02054 374.10637,242.49805 375.64593,240.90496 C 377.18551,239.31188 378.91867,237.62628 379.70246,237.29089 C 380.48623,236.95551 386.42823,236.3608 392.55849,235.85772 C 398.68874,235.35464 405.00151,234.96704 406.56906,235.07882 C 408.13661,235.19063 410.83709,235.05638 413.49634,234.86074 C 416.15559,234.6651 418.78081,234.3989 420.2364,234.17531 C 421.79435,233.93599 430.02142,231.9496 438.08506,230.0939 z"
undefined,path2266,"M 329.27685,325.61762 C 329.91851,325.72838 330.55634,325.82687 331.3051,326.14727 C 332.34317,326.59146 333.43686,327.17511 334.4255,327.76737 C 335.10194,328.1726 335.10608,328.21962 335.64245,328.57742 C 334.99998,327.95899 334.39657,327.32983 333.11493,326.73923 C 331.65935,326.06846 330.88706,325.69506 329.96333,325.55531 C 329.80433,325.53125 329.44784,325.62824 329.27685,325.61762 z"
undefined,path2269,"M 316.29599,328.92014 C 316.46957,328.85719 317.65092,328.28194 317.73138,328.26587 C 319.3132,327.94999 321.20026,327.21521 323.09846,326.58345 C 321.90171,326.8931 320.67465,327.13518 319.63482,327.45581 C 317.73137,328.04274 316.3272,328.54627 316.3272,328.54627 C 316.3272,328.54627 316.29657,328.89793 316.29599,328.92014 z"
